


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
2005,Savigny-Lès-Beaune Premier Cru Les Peuillets Domaine Jean Guiton,Domaine Jean Guiton,Bourgogne,Pinot Noir,750,,,, Brad & Erica Sklar:  AHA w Ben Ben and Dad 
2015,Bourgogne Aligote Domaine Betrand Machard de Gramont,Domaine Betrand Machard de Gramont,Bourgogne Aligoté,Aligoté,750,1,24.5,,
2014,Bourgogne Aligote Domaine Pavelot,Domaine Jean-Marc Pavelot,Bourgogne Aligoté,Aligoté,750,1,25,,
2017,Chablis Domaine Besson,Domaine Besson,Chablis,Chardonnay,750,1,22,,
2017,Chablis Joseph Roche  Premier Cru Vaucoupin,Domaine de la Roche St-Martin,Chablis,Chardonnay,750,3,26,,
2019,Chablis Lamblin & Fils,Maison Lamblin & Fils,Chablis,Chardonnay,750,2,18.99,,
2015,Chablis 1er Cru Montmains,Domaine Besson,Chablis Premier Cru,Chardonnay,750,4,22.88,,
2015,Chablis Premier Cru Domaine Drouhin Vaudon,Domaine Drouhin Vaudon,Chablis Premier Cru,Chardonnay,750,1,31,,
2018,Chablis Premier Cru Mont de Milieu J Moreau & Fils,J. Moreau & Fils,Chablis Premier Cru,Chardonnay,750,1,36,,
2009,Montagny Premier Cru Les Coeres Maison Deux Montille,Maison Deux Montille,Montagny Premier Cru,Chardonnay,750,1,23.51,,
2005,Beaune Premier Cru Bastion Blanc Maison Chanson,Maison Chanson,Beaune Premier Cru,Chardonnay,750,1,20,,
2009,Chassagne-Montrachet Château de Chassagne-Montrachet,Michel Picard,Chassagne-Montrachet,Chardonnay,750,1,29.99,,wtso
2017,Chassagne-Montrachet Domaine Blain-Gagnard,Domaine Blain-Gagnard,Chassagne-Montrachet,Chardonnay,750,2,62.5,,
2009,Chassagne-Montrachet Maison Bader-Mimeur,Maison Bader-Mimeur,Chassagne-Montrachet,Chardonnay,750,2,29.99,,
2009,Chassagne-Montrachet Maison Bader-Mimeur,Maison Bader-Mimeur,Chassagne-Montrachet,Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  Geoff n Julie-Xmas party cheese/bris/shrimp Geoff/Julie/Brad n Erica bright complex supple medium-bodied well balanced 
2009,Chassagne-Montrachet Maison Bader-Mimeur,Maison Bader-Mimeur,Chassagne-Montrachet,Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  Geoff n Julie-Xmas party cheese/bris/shrimp Geoff/Julie/Brad n Erica bright complex supple medium-bodied well balanced 
2008,Chassagne-Montrachet Premier Cru Les Macherelles Domaine Jean-Marc Boillot,Domaine Jean-Marc Boillot,Chassagne-Montrachet,Chardonnay,750,3,29.71,,
2006,Chassagne-Montrachet Premier Cru Cailleret Domaine Louis Latour,Domaine Louis Latour,Chassagne-Montrachet Premier Cru,Chardonnay,750,1,36.99,,
2008,Chassagne-Montrachet Premier Cru Les Embrazées Domaine Vincent & Sophie Morey,Domaine Vincent & Sophie Morey,Chassagne-Montrachet Premier Cru,Chardonnay,750,1,27.71,,
2009,Meursault Domaine Henri Darnat,Domaine Henri Darnat,Meursault,Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  deep complex supple 
2017,Meursault Les Clous Domaine Bouchard Père & Fils,Domaine Bouchard Père & Fils,Meursault,Chardonnay,750,1,49.95,,
2015,Meursault 1er Cru La Goutte d'Or,Domaine François Gaunoux,Meursault Premier Cru,Chardonnay,750,2,49,,
2023,Olivier Leflaive Puligny-Montrachet Château de Puligny-Montrachet,Domaine du Château de Puligny-Montrachet,Puligny-Montrachet,Chardonnay,750,1,130,,
2008,Puligny-Montrachet Château de Chassagne-Montrachet,Michel Picard,Puligny-Montrachet,Chardonnay,750,2,34.41,,
2007,Puligny-Montrachet Domaine Jean-Marc Boillot,Domaine Jean-Marc Boillot,Puligny-Montrachet,Chardonnay,750,2,22.12,,
2008,Puligny-Montrachet Premier Cru Champ Canet Domaine Jean-Marc Boillot,Domaine Jean-Marc Boillot,Puligny-Montrachet,Chardonnay,750,1,39.43,,
2008,Puligny-Montrachet Premier Cru La Garenne Domaine Jean-Marc Boillot,Domaine Jean-Marc Boillot,Puligny-Montrachet,Chardonnay,750,1,35.61,,
2008,Puligny-Montrachet Premier Cru Sous Le Puits Domaine Louis Latour,Domaine Louis Latour,Puligny-Montrachet Premier Cru,Chardonnay,750,2,39.99,,
2004,Savigny-Lès Beaune Premier Cru La Dominode Maison Chanson,Maison Chanson,Savigny-Lès-Beaune Premier Cru,Pinot Noir,750,2,49.99,,
2007,Volnay Premier Cru  Clos de la Chapelle Monopole Maison Louis Boillot,Maison Louis Boillot,Volnay Premier Cru,Pinot Noir,750,2,39.99,,
2009,Morey Saint-Denis Premier Cru Les Monts Luisants Domaine des Monts Luisants,Domaine des Monts Luisants,Morey Saint-Denis Premier Cru,Pinot Noir,750,2,49.99,,Monts Luisants
2005,Morey Saint-Denis Premier Cru Les Monts Luisants Domaine Michel Magnien,Domaine Michel Magnien,Morey Saint-Denis Premier Cru,Pinot Noir,750,2,49.99,,Monts Luisants
2005,Pouilly-Fuissé Domaine Larochette Manciat,Domaine Larochette Manciat,Pouilly-Fuissé,Chardonnay,750,3,23.99,,
2005,Pouilly-Fuissé Domaine Larochette Manciat,Domaine Larochette Manciat,Pouilly-Fuissé,Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  Brad and erica bright Lemony fragrant nose w  butterscotch cantelope  palate nice smooth finish. great w fish 
2011,Pouilly-Fuissé Les Crays Eric Forest,Eric Forest,Pouilly-Fuissé,Chardonnay,750,1,28,,
2014,Saint-Véran Ernest Meurgey-Perron,Ernest Meurgey-Perron,Saint-Véran,Chardonnay,750,3,14.99,,
,Barons de Rothschild Brut Champagne,Domaines Barons de Rothschild,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,1,45,,
,Champagne Bonnaire Brut Blanc de Blancs Grand Cru,Champagne Bonnaire,Champagne,Chardonnay,750,1,39.99,,
,Champagne Charles de Monrency Brut Réserve,Nicolas Gueusquin,Champagne,Chardonnay-Pinot Noir,750,2,19.99,,
,Champagne Charles de Monrency Brut Réserve,Nicolas Gueusquin,Champagne,Chardonnay-Pinot Noir,750,,,, Brad & Erica Sklar: 3 stars  Easter Matzah Brie CK/Erica bright fragrant lively medium-bodied pleasant 
2000,Champagne Charles Ellner Prestige Brut,Champagne Charles Ellner,Champagne,Chardonnay-Pinot Noir,750,1,38.99,,
,Champagne de Venoge Brut Rosé,Champagne de Venoge,Champagne,Pinot Noir-Pinot Meunier-Chardonnay,750,1,34.99,,Le champagne Rosé DE VENOGE est léger et d'une très grande finesse.
,Champagne de Venoge Brut Rosé,Champagne de Venoge,Champagne,Pinot Noir-Pinot Meunier-Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  FRI NITE BAR CHEESE  E N B bright fragrant crisp light-bodied elegant 
,Champagne de Venoge Brut Rosé,Champagne de Venoge,Champagne,Pinot Noir-Pinot Meunier-Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  Chicken marsala spinach  dish Ck/E/me pale fragrant supple medium-bodied elegant 
,Champagne Diebolt-Vallois Brut Tradition,Champagne Diebolt-Vallois,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,1,29.97,,
,Champagne Diebolt-Vallois Brut Tradition,Champagne Diebolt-Vallois,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,,,, Brad & Erica Sklar: 4.5 stars  4th July MF/Nick/me pale complex lively full-bodied well balanced 
,Champagne Diebolt-Vallois Brut Tradition,Champagne Diebolt-Vallois,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,,,, Brad & Erica Sklar: 4 stars  sklarfest-old forge millners/biff bright fragrant lively 
,Champagne Gardet Brut,Champagne Gardet,Champagne,Chardonnay-Pinot Noir,750,1,19.99,,champagne
,Champagne Gardet Brut,Champagne Gardet,Champagne,Chardonnay-Pinot Noir,750,,,, Brad & Erica Sklar:  MacIsaac sklarano bar Hugh/Lisa cheese crackers goat/bri/jarlsburg pale fragrant supple medium-bodied 
,Champagne Lallier Grand Cru Brut Grande Réserve,Champagne Lallier,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,1,29.99,,
,Champagne Laurent Perrier Brut Cuvée Rosé,Laurent-Perrier Group,Champagne,Pinot Noir,750,2,55.55,,
2000,Champagne Moët & Chandon Cuvée Dom Pérignon,Maison Moët & Chandon,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 5 stars  SHERRY NETHERLAND GOMAMA/E/ME CHEESE pale fragrant lively full-bodied well balanced 
2005,Champagne Moët & Chandon Cuvée Dom Pérignon,Maison Moët & Chandon,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  Melanie Wedding 
2006,Champagne Moët & Chandon Cuvée Dom Pérignon,Maison Moët & Chandon,Champagne,Pinot Noir-Chardonnay,750,1,135,,
2009,Champagne Moët & Chandon Cuvée Dom Pérignon,Maison Moët & Chandon,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  Gomama 80th bd Mom/E/B/Glenn 
2010,Champagne Moët & Chandon Cuvée Dom Pérignon,Maison Moët & Chandon,Champagne,Pinot Noir-Chardonnay,750,1,159,,
2002,Champagne Moët & Chandon Grand Vintage Brut,Maison Moët & Chandon,Champagne,Chardonnay-Pinot Noir-Pinot Meunier,750,1,49.99,,
,Champagne Paul Berthelot Cuvee Eminence 1er Cru NV,Paul  Berthelot ,Champagne,Pinot Noir-Chardonnay,750,3,33,,95 pts -tasting panel /LB 
,Champagne Perrier-Jouët Grand Brut,Maison Perrier Jouët,Champagne,Pinot Noir-Pinot Meunier-Chardonnay,750,1,46,,
,Champagne Philippe Prié Brut,Champagne Philippe Prié,Champagne,Pinot Noir-Chardonnay,750,1,24.99,,
,Champagne Philippe Prié Brut Rosé,Champagne Philippe Prié,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,,,, Brad & Erica Sklar:  ny eve ginas mf/nick 
,Champagne Philippe Prié Brut Tradition Côte des Bar,Champagne Philippe Prié,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4.5 stars  Thanksgiving Day Toast UB  bright complex crisp medium-bodied elegant 
,Champagne Philippe Prié Brut Tradition Côte des Bar,Champagne Philippe Prié,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  Geoff n Julie Xmas party Geoff/Julie/Brad n Erica cheeses pale fragrant light-bodied pleasant 
,Champagne Philippe Prié Brut Tradition Côte des Bar,Champagne Philippe Prié,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  Brads /MF Bd Grapevine Nick/Finelli/MF 
,Champagne Rémy Massin & Fils Champagne Tradition,Champagne Rémy Massin & Fils,Champagne,Pinot Noir-Chardonnay,750,3,32,,
,Champagne Rémy Massin & Fils Champagne Tradition,Champagne Rémy Massin & Fils,Champagne,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  5th anniversary Brad/Erica Pizza bright intense lively full-bodied well balanced 
