


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
2008,Santa Margherita Alto Adige Pinot Grigio,Santa Margherita,Alto Adige,Pinot Grigio,750,,,, Brad & Erica Sklar:  Geoff N Julie  Guac  and  pasta Geoff/Julie  
2008,Santa Margherita Alto Adige Pinot Grigio,Santa Margherita,Alto Adige,Pinot Grigio,750,,,, Brad & Erica Sklar: 4 stars  Lou and Adrienne pesto chicken pale fragrant crisp light-bodied elegant 
2019,Santa Margherita Alto Adige Pinot Grigio,Santa Margherita,Alto Adige,Pinot Grigio,750,1,21.19,,
,Riondo Prosecco,Cantine Riondo,Veronese,Prosecco,750,,,, Brad & Erica Sklar:  chads house 
,Riondo Prosecco,Cantine Riondo,Veronese,Prosecco,750,,,, Brad & Erica Sklar:  Melissa 40th 
2008,Park Estate Sauvignon Blanc,Park Estate Wines,Hawke's Bay,Sauvignon Blanc,750,,,, Brad & Erica Sklar:  sklarfest 
2011,Kim Crawford Sauvignon Blanc Marlborough,Kim Crawford Wines,Marlborough,Sauvignon Blanc,750,,,, Brad & Erica Sklar:  gift Lynn Catada 
2020,Rapaura Springs Reserve Sauvignon Blanc,Rapaura Springs,Marlborough,Sauvignon Blanc,750,1,11.99,,
2008,Berridge Vineyard Estates Drystone Pinot Noir,Berridge Vineyard Estates,Central Otago,Pinot Noir,750,,,, Brad & Erica Sklar: 3.5 stars  JC and Co JC pale fragrant lively light-bodied pleasant 
2005,Ferrari-Carano Trésor,Ferrari-Carano Vineyards and Winery,Alexander Valley,Cabernet Sauvignon-Merlot-Malbec-Petit Verdot,750,,,, Brad & Erica Sklar: 4 stars  dark intense supple 
2005,Ferrari-Carano Trésor,Ferrari-Carano Vineyards and Winery,Alexander Valley,Cabernet Sauvignon-Merlot-Malbec-Petit Verdot,750,,,, Brad & Erica Sklar: 4.5 stars  DMB cheeses Geoff/Julie deep complex supple tannic well balanced 
2005,Ferrari-Carano Trésor,Ferrari-Carano Vineyards and Winery,Alexander Valley,Cabernet Sauvignon-Merlot-Malbec-Petit Verdot,750,,,, Brad & Erica Sklar: 4 stars  Nicks house vodka riggies dr fred/Nick dark fragrant supple bold 
2006,Silver Oak Cabernet Sauvignon Alexander Valley,Silver Oak Cellars,Alexander Valley,Cabernet Sauvignon,750,1,54.99,,combines full body and richness with moderate alcohol. It has a garnet color and a nose of cassis liqueur, nutmeg and dark chocolate. On the palate, i
2007,Silver Oak Cabernet Sauvignon Alexander Valley,Silver Oak Cellars,Alexander Valley,Cabernet Sauvignon,750,3,48,,
2008,Silver Oak Cabernet Sauvignon Alexander Valley,Silver Oak Cellars,Alexander Valley,Cabernet Sauvignon,750,4,53.61,,Alexander valley
2009,Silver Oak Cabernet Sauvignon Alexander Valley,Silver Oak Cellars,Alexander Valley,Cabernet Sauvignon,750,1,59.5,,
2012,Stonestreet Legacy Alexander Valley,Stonestreet Winery,Alexander Valley,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,85,,
2013,Knez Pinot Noir Cerise Vineyard,Knez Winery,Anderson Valley,Pinot Noir,750,1,39.99,,
2016,Schramsberg Brut Blanc de Noirs,Schramsberg Vineyards,California,Pinot Noir-Chardonnay,750,1,29,,
2007,Chalk Hill Estate Red,Chalk Hill Estate,Chalk Hill,Cabernet Sauvignon-Malbec-Merlot-Petit Verdot,750,1,49.83,,
2007,Chalk Hill Estate Red,Chalk Hill Estate,Chalk Hill,Cabernet Sauvignon-Malbec-Merlot-Petit Verdot,750,,,, Brad & Erica Sklar:  deck nick/mf 
2006,Diamond Creek Cabernet Sauvignon Volcanic Hill,Diamond Creek Vineyards,Diamond Mountain District,Cabernet Sauvignon,750,1,200,,
2007,Summers Cabernet Sauvignon Limited Diamond Mountain District,Summers Winery,Diamond Mountain District,Cabernet Sauvignon,750,4,31.97,,
2017,Vineyard Block Estate Block 665 Special  Reserve Diamond Mt District,Vineyard Block Estate,Diamond Mountain District,Cabernet Sauvignon,750,2,24.95,,95 WB 
2008,Thea Sauvignon Blanc,Thea Wines,Dry Creek Valley,Sauvignon Blanc,750,,,, Brad & Erica Sklar: 3 stars 2010 Pfisterer's House pale floral, tropical fruit medium dry short 
2001,Beringer Cabernet Sauvignon Rancho del Oso Vineyard,Beringer Vineyards,Howell Mountain,Cabernet Sauvignon,750,1,69.99,,
2001,Beringer Cabernet Sauvignon Steinhauer Ranch,Beringer Vineyards,Howell Mountain,Cabernet Sauvignon,750,1,69.99,,
2001,Beringer Single Vineyard Cabernet Sauvignon Bancroft Ranch,Beringer Vineyards,Howell Mountain,Cabernet Sauvignon,750,1,69.99,,
2005,Pine Ridge Cabernet Sauvignon Howell Mountain,Pine Ridge Vineyards,Howell Mountain,Cabernet Sauvignon,750,1,44.99,,
2014,Prim Family Vineyard-Howell Mt Cabernet Sauvignon,prim ,Howell Mountain,Cabernet Sauvignon-Merlot-Petit Verdot,750,1,39.99,,
2016,Beringer Reserve Cabernet Sauvignon Knights Valley,Beringer Vineyards,Knights Valley,Cabernet Sauvignon,750,1,30,,
2001,Mumm Napa Sparkling Pinot Noir,Mumm Napa,Los Carneros,Pinot Noir,750,3,29.99,,
2008,Saintsbury Pinot Noir Stanly Ranch,Saintsbury Winery,Los Carneros,Pinot Noir,750,3,23.21,,
2010,Calera Pinot Noir Ryan Vineyard,Calera Wine Company,Mt Harlan,Pinot Noir,750,1,34.56,,
2014,Acumen 'Peak',Acumen Wines,Napa Valley,Cabernet Sauvignon,750,1,59,,
2018,Adeptos Napa Valley Reserve Cabernet Sauvignon,Adeptos,Napa Valley,Cabernet Sauvignon,750,2,27.99,,
2005,ALTUS Cabernet Sauvignon,ALTVS,Napa Valley,Cabernet Sauvignon,750,2,49.99,,
2006,ALTUS Cabernet Sauvignon,ALTVS,Napa Valley,Cabernet Sauvignon,750,5,35,,
2006,ALTUS Cabernet Sauvignon,ALTVS,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Gomamma steak and potatoes Gomamma/E/B/Ben Steak/broccolli/salad dark intense supple full-bodied rich 
2007,Anderson's Conn Valley Prologue Cabernet Sauvignon,Anderson's Conn Valley Vineyards,Napa Valley,Cabernet Sauvignon,750,1,19.99,,
2007,Anderson's Conn Valley Prologue Cabernet Sauvignon,Anderson's Conn Valley Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Geoff and Julie dark Rich soothing 
2016,Ardore Coombsville,Celani Family Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  rosh hashana 60th bd weekend gomama dark intense supple full-bodied well balanced blueberry tobacco mocha earthy silky texture  long finish 
2013,Audax  Napa Valley Cabernet Sauvignon,Audax,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,120,,
2009,Beaulieu Vineyard Cabernet Sauvignon Georges de Latour Private Reserve,Beaulieu Vineyard,Napa Valley,Cabernet Sauvignon-Merlot,750,1,79.99,,
2019,Beaulieu Vineyard Cabernet Sauvignon Georges de Latour Private Reserve,Beaulieu Vineyard,Napa Valley,Cabernet Sauvignon-Merlot,750,1,165,,
2016,Beringer  Vineyards Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon,750,1,30,,
1995,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,70,,
1996,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,70,,
1997,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,70,,
1999,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,2,80,,
1999,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,,,, Brad & Erica Sklar: 4.5 stars  Nick/CA cheese/capri salad/bolgna Nick/CA evolved fragrant supple full-bodied well balanced 
2004,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,2,70,,
2005,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,70,,Private reserve
2006,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,2,59.99,,
2012,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,2,99.99,,96 pts WA 
2015,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,98,,99 Pts {JS)
2016,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,116,,JS 99 
2017,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,116,,JS98 
2018,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,2,85,,JS98 
2018,Beringer Private Reserve Cabernet Sauvignon Napa Valley,Beringer Vineyards,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,,,, Brad & Erica Sklar: 4.5 stars  Lynn post-op shrimp risotto/broccoli quiche E/B and Lynn dark complex supple rich Smooth blackberry /boysenberry/nice tannins/rich long finish 
2001,Beringer Single Vineyard Cabernet Sauvignon Chabot Vineyard,Beringer Vineyards,Napa Valley,Cabernet Sauvignon,750,1,69.99,,
2006,Brookdale Vineyards Cabernet Sauvignon,Brookdale Vineyards & Winery,Napa Valley,Cabernet Sauvignon,750,2,24.99,,
1996,Burgess Cellars Cabernet Sauvignon Library Release Napa Valley,Burgess Cellars,Napa Valley,Cabernet Sauvignon,750,1,23,,
2021,Cakebread  Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Petit Verdot-Syrah,750,1,80,,
2000,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,,,, Brad & Erica Sklar: 4 stars  dark fragrant supple medium-bodied pleasant 91 pts medium bodied cab  like nice Napa merlot  fragrant and smooth nice finish 
2012,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,1,80,,
2014,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,1,68.99,,
2014,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,,,, Brad & Erica Sklar: 4 stars  deep fragrant supple full-bodied bold 91 
2014,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,,,, Brad & Erica Sklar: 4.5 stars  E/B dark fragrant supple full-bodied well balanced Fruity nose  blueberry,currant,smooth on the palate   with long supple finish  
2014,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,,,, Brad & Erica Sklar: 4.5 stars 2020 E/B dark fragrant supple full-bodied Fruity nose   blackberry,currant,fig jam  on the palate with a long supple oaky finish  93 pts 
2014,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,,,, Brad & Erica Sklar: 4.5 stars  Cafe Canoli takeout Brad & E dark complex supple well balanced blackberry, cola ,black cherry licorice tobacco w/ long smooth oaky finish 
2016,Cakebread Cabernet Sauvignon Napa Valley,Cakebread Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Malbec,750,1,78,,Dwight Vicks gift 
2010,Cakebread Chardonnay Napa Valley,Cakebread Cellars,Napa Valley,Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  deck dinner burritos brad/erica bright fragrant crisp medium-bodied pleasant 
2012,Caymus Cabernet Sauvignon 40th Anniversary,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,11,57.99,,Caberinet Savignon
2012,Caymus Cabernet Sauvignon 40th Anniversary,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  deck nick/jodi eye surgery retina peel 
2012,Caymus Cabernet Sauvignon 40th Anniversary,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,1000,,,, Brad & Erica Sklar:  E 50th 
2004,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,70,,
2005,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,69.99,,
2006,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,69.99,,
2008,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,3,57.99,,
2008,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  MF deck MF pie dark complex supple full-bodied rich 
2009,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,4,61.49,,
2010,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,59.97,,
2011,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,4,65,,
2013,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,2,64.99,,
2014,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,3,64.99,,
2014,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,1000,1,74.99,,
2014,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,1000,,,, Brad & Erica Sklar: 5 stars  MF Newlywed game lobster rolls Tom/Gina/Nick/kim/GM/E dark complex supple full-bodied 
2015,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,2,75,,
2020,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,90,,
2020,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,1000,1,90,,
2022,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,7,79.99,,
2022,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  MFs GV deep fragrant supple full-bodied well balanced 
2022,Caymus Cabernet Sauvignon Napa Valley,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,1000,2,89.99,,
1991,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,80,,
2000,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,2,80,,
2007,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,110,,Special Selection Cabernet Sauvignon
2008,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,92.61,,Special Selection
2009,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,91.81,,
2011,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,2,119.98,,
2014,Caymus Cabernet Sauvignon Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,1,180,,Bought net 80$ Napa w Ben $180-$100 wine tasting fees 
2019,Caymus Special Selection,Caymus Vineyards,Napa Valley,Cabernet Sauvignon,750,2,150,,
2019,Celani,Celani Family Vineyards,Napa Valley,Cabernet Sauvignon,750,1,160,,
2012,Celani Family Vineyards Cabernet Sauvignon Ardore,Celani Family Vineyards,Napa Valley,Cabernet Sauvignon,750,1,180,,
2014,Celani Family Vineyards Tenacious,Celani Family Vineyards,Napa Valley,Merlot-Cabernet Franc,750,,,, Brad & Erica Sklar: 4.5 stars  MFs Xmas eve  Gina shrimp and italian Tom/Gina/Roach dark complex supple full-bodied elegant 
2015,Celani Family Vineyards Tenacious,Celani Family Vineyards,Napa Valley,Merlot-Cabernet Franc,750,1,58,,
2019,Cyrus Creek Vineyards Diamond Mountain Cabernet,Cyrus Creek Vineyuards,Napa Valley,Cabernet Sauvignon,750,2,38,,
2014,Dominus Red Wine Napa Valley,Dominus Estate,Napa Valley,Cabernet Sauvignon-Cabernet Franc-Petit Verdot,750,1,210,,97 points Parker 
2021,Double Eagle Sauvignon Blanc,Melka Wines,Napa Valley,Red Blend,750,4,30,,96 points  
2021,Duckhorn Sauvignon Blanc Napa Valley,Duckhorn Wine Company,Napa Valley,Sauvignon Blanc-Sémillon,750,1,19.5,,
2005,Dunn Cabernet Sauvignon Napa Valley,Dunn Vineyards,Napa Valley,Cabernet Sauvignon,750,1,42.98,,
2006,Dunn Cabernet Sauvignon Napa Valley,Dunn Vineyards,Napa Valley,Cabernet Sauvignon,750,1,49.99,,
2018,Eisele Vineyard Napa Valley Sauvignon Blanc,Volker Eisele Family Estate,Napa Valley,Sauvignon Blanc,750,2,38,,
2007,Franciscan Cabernet Sauvignon Napa Valley,Franciscan Oakville Estate,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  dark intense supple full-bodied elegant 
2019,Grgich Hills Estate Cabernet Sauvignon,Grgich Hills Cellars,Napa Valley,Cabernet Sauvignon,750,3,50,,
2008,Grgich Hills Estate Grown Cabernet Sauvignon,Grgich Hills Cellars,Napa Valley,Cabernet Sauvignon,750,2,39.99,,
2008,Grgich Hills Estate Grown Cabernet Sauvignon,Grgich Hills Cellars,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  st patricks nite corned beef CK  dark intense supple full-bodied well balanced 
2011,Grgich Hills Estate Grown Cabernet Sauvignon,Grgich Hills Cellars,Napa Valley,Cabernet Sauvignon,750,2,49.99,,
2010,Hall Cabernet Sauvignon Napa Valley,Hall Wines,Napa Valley,Cabernet Sauvignon,750,1,34.71,,
2005,Joseph Phelps Cabernet Sauvignon Napa Valley,Joseph Phelps Vineyards,Napa Valley,Cabernet Sauvignon-Merlot-Petit Verdot-Malbec,750,1,49.99,,small blend
2006,Kathryn Hall Cabernet Sauvignon Napa Valley,Hall Wines,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,750,1,80,,
2014,Long Meadow Ranch Cabernet Sauvignon Napa Valley,Long Meadow Ranch,Napa Valley,Cabernet Sauvignon-Cabernet Franc,750,1,29.99,,
,Mumm Napa Brut Reserve,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  geoff and julie and Erica/Brad pale 
,Mumm Napa Brut Reserve,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  pfisterer,la bella,kaye,peterson 
,Mumm Napa Brut Reserve,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  sklarfest 
,Mumm Napa Brut Reserve,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  pfisterers Frankie Valli Nick Gina Tom KIm Mike meatballs 
,Mumm Napa Brut Reserve,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  sklarfest cheeses millners/Gary 
2000,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,1,29.99,,
2000,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  easter brunch ck/e/b 
2000,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar:  Carla Kloster's 50th Birthday gift 
2001,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,2,26.99,,
2001,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  Brodock Party/wine cellar Flanagans pale fragrant lively medium-bodied elegant 
2001,Mumm Napa DVX,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,,,, Brad & Erica Sklar: 4 stars  Berkshires E n B bright intense supple medium-bodied elegant 
2005,Mumm Napa DVX Rosé,Mumm Napa,Napa Valley,Pinot Noir-Chardonnay,750,2,29.99,,
2013,Opus One Overture,Opus One Winery,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,270,,
2010,Robert Mondavi Reserve Cabernet Sauvignon Napa Valley - Signed by Mondavi,Robert Mondavi Winery,Napa Valley,Cabernet Sauvignon,750,1,94.99,,
2014,Schramsberg Blanc de Blanc Brut,Schramsberg Vineyards,Napa Valley,Chardonnay,750,1,29.99,,
2016,Shafer TD-9 Napa Valley,Shafer Vineyard Cellars,Napa Valley,Merlot-Cabernet Sauvignon-Malbec,750,1,59,,
1993,Silver Oak Cabernet Sauvignon Napa Valley,Silver Oak Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,750,,,, Brad & Erica Sklar: 4.5 stars  Pfisterers kentucky Derby Win Grapevine Tom/Gina GV dark intense full-bodied well balanced 
2013,Silver Oak Cabernet Sauvignon Napa Valley,Silver Oak Cellars,Napa Valley,Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,750,1,94,,Bought Napa w Ben 25% off industry price 
2007,Snowden Vineyards Cabernet Sauvignon The Ranch,Snowden Vineyards,Napa Valley,Cabernet Sauvignon,750,1,42.99,,
2007,Snowden Vineyards Cabernet Sauvignon The Ranch,Snowden Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  took gi board recert e n b cheese dark complex full-bodied elegant rich taste medium finish tobacco earthy toned 
2005,St. Supéry Cabernet Sauvignon Napa Valley,St. Supéry Vineyards and Winery,Napa Valley,Cabernet Sauvignon,3000,,,, Brad & Erica Sklar: 4.5 stars  Summer Pre -Aruba Party Chad/Nicky/MF/George/Lynn/Kim C Garramone dark intense supple tannic rich Great Party Large Bottle 
2014,St. Supéry Cabernet Sauvignon Napa Valley,St. Supéry Vineyards and Winery,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  dark intense flat full-bodied well balanced solid napa cab loaded with fruit :blackberry fig jam licorice and nice finish 
2021,Stag's Leap Wine Cellars Cabernet Sauvignon  Rancho Chimiles Vineyard,Stag's Leap Wine Cellars,Napa Valley,Cabernet Sauvignon,750,4,49.99,,95 points
 
2009,Stag's Leap Wine Cellars Cabernet Sauvignon Artemis,Stag's Leap Wine Cellars,Napa Valley,Cabernet Sauvignon-Merlot,750,2,34,,
2010,Stag's Leap Wine Cellars Cabernet Sauvignon Artemis,Stag's Leap Wine Cellars,Napa Valley,Cabernet Sauvignon-Merlot,750,1,55,,
2023,Stag's Leap Wine Cellars Karia Chardonnay,Stag's Leap Wine Cellars,Napa Valley,Chardonnay,750,2,30,,
2014,Stags' Leap Winery Cabernet Sauvignon Napa Valley,Stags' Leap Winery,Napa Valley,Cabernet Sauvignon,750,1,39.99,,
2015,Stags' Leap Winery Cabernet Sauvignon Napa Valley,Stags' Leap Winery,Napa Valley,Cabernet Sauvignon,750,2,34.9,,
2016,Stags' Leap Winery Merlot Napa Valley,Stags' Leap Winery,Napa Valley,Merlot,750,,,, Brad & Erica Sklar: 4 stars  Pandemic dark fragrant supple full-bodied rich Delicious dark fruit bomb:  plum blueberry boysenberry w soft tannins and pleasant smooth finish. Excellent value wine   Crowd pleaser for sure 4/5 stars  
2018,Summer's Estate Oakville Reserve Cabernet Sauvignon,Summers Winery,Napa Valley,Cabernet Sauvignon,750,2,48,,
2007,Textbook Vineyards Cabernet Sauvignon Fin de Journée,Pey-Marin Vineyards,Napa Valley,Cabernet Sauvignon,750,1,19.95,,
2007,Textbook Vineyards Cabernet Sauvignon Fin de Journée,Pey-Marin Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  Melissa 40th colby/scott/karen 
2008,The Prisoner,The Prisoner Wine Company,Napa Valley,Zinfandel-Cabernet Sauvignon-Syrah-Charbono,750,1,35.99,,Meritage
2007,Two Hands Some Days Are Diamonds,Two Hands Wines,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Geoffs Xmas Turkey Geoff n Julie dark complex supple full-bodied rich 
2007,Two Hands Some Days Are Diamonds,Two Hands Wines,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  Kim M house dinner 
2007,Two Hands Some Days Are Diamonds,Two Hands Wines,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  Melissa 40th colby/scott/karen 
2007,Vine Cliff Cabernet Sauvignon Napa Valley,Vine Cliff Winery,Napa Valley,Cabernet Sauvignon,750,1,29.91,,
2006,Vinifera Vineyards Cabernet Sauvignon Napa Valley,Vinifera Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  sklarfest millners/biff dark complex supple tannic rich 
2006,Vinifera Vineyards Cabernet Sauvignon Napa Valley,Vinifera Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  trivia night greeens/meatballs 
2006,Vinifera Vineyards Cabernet Sauvignon Napa Valley,Vinifera Vineyards,Napa Valley,Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Sklarfest 2015 Filets/Pesto/corn Millners/Biff dark complex supple full-bodied well balanced 
2016,Schramsberg Brut Blanc de Blancs,Schramsberg Vineyards,North Coast,Chardonnay,750,,,, Brad & Erica Sklar: 3.5 stars  brewster inn e n B cheese crackers  bright crisp pleasant 
2018,Bevan Cellars Ontogeny,Bevan Cellars - Showket Vineyard,Oakville,Cabernet Sauvignon-Cabernet Franc-Merlot,750,,,, Brad & Erica Sklar: 3 points   kentucky Derby full bodied complex pleasant long finish    
2006,Ghost Block Estate Cabernet Sauvignon Oakville,Bonded Winery Number 9,Oakville,Cabernet Sauvignon,750,2,49.99,,
2008,Opus One,Opus One Winery,Oakville,Cabernet Sauvignon-Merlot-Petit Verdot-Cabernet Franc,750,,,, Brad & Erica Sklar: 4.5 stars  Nicks  Bday Labella deck Lambert/Sklarano/Reno/Nick dark intense supple full-bodied elegant 
2005,Robert Mondavi Cabernet Sauvignon Oakville,Robert Mondavi Winery,Oakville,Cabernet Sauvignon,750,3,19.99,,
2005,Robert Mondavi Cabernet Sauvignon Oakville,Robert Mondavi Winery,Oakville,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  50th BDay  Hotel Utica Nick,MF,Ron,Kim,Chad,BK,Goff 
